སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
ཀ་པེད་དྲུག་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	དུག་ཉུང་བོང་ང་ག་དུར་བ་ལེ་གའི། །ཐང་གིས་རྒྱུ་ལོང་སྣོད་ཚད་མ་ལུས་སེལ། །དེ་ལ་ཀ་པེད་འབྲས་བཏབ་ཚ་འཁྲུ་གཅོད། །
ཀུན་བྱེད་རྒྱལ་པོ།	བསིལ་བ། བཟི་མེད།	ཀུན་བྱེད་རྒྱལ་པོ་ཆང་གིས་རྟ་བྱས་གཏོང་། །ཤ་ལྤགས་རྩ་རུས་ཆུ་རྒྱུས་ལ་སོགས་པའི། །རྨ་ཀུན་གསོ་བར་བྱེད་པའི་བདུད་རྩི་སྟེ། །ཁྱད་པར་མགོ་ཡི་རུས་སྐྱོན་ཆེ་འབྲིང་ཆུང་། །ཀླད་པ་རལ་དང་མཚོན་ཆ་ཕོག་པ་སོགས། །རྩ་རུས་ཤ་དང་ཀླད་པའི་རྩ་ཀུན་སྡོམ། །མཆོག་ཏུ་བྱང་ཁོག་སྟོད་སྨད་རྨ་ལ་བསྔགས། །
ཀོ་ཁྲག	ཅུང་བསིལ། བཟི་ཅུང་ཡོད།	ཀོ་ཁྲག་སྟོད་བྲང་སྡེབ་ནས་གཟེར་ལངས་པ། །དབུགས་བཀག་གློ་ཡིས་བསླངས་ནས་རྔམས་པ་དང་། །ངན་ཁྲག་སྟོད་དུ་འཚངས་པར་ཕན་པའི་མཆོག །
ཀོ་བྱི་ལྔ་ཐང་།	བསིལ་ཆེ། བཟི་མེད།	མ་ནུ་བཞི་ཐང་སྟེང་ཀོ་བྱི་ལ། །བསྣན་པས་ཁྲག་རླུང་སྤྱི་ལ་ཕན། །
ཀོ་བྱི་བདུན་པ།	ཅུང་བསིལ། བཟི་མེད།	ཀོ་བྱི་བདུན་པ་ཚད་ལྡན་སྦྱར་བ་འདིས། །ངན་ཁྲག་སྟོད་དུ་རྒྱས་པའི་ནད་རིགས་དང་། །དབུགས་འཐུམས་དབུགས་འཁྲིལ་ནད་ཆེན་སྟོད་རྒྱས་དང༌། །འགྲམས་འཁྲུགས་རླུང་གིས་ལུས་པའི་ནད་ལ་བསྔགས། །
ཀོ་བྱི་བཅུ་གསུམ།	ཅུང་བསིལ། བཟི་མེད།	ཀོ་བྱི་བཅུ་གསུམ་ཁྲག་རླུང་སྟོད་གཟེར་དང༌། །འབམ་རིགས་གྱེན་ལོག་སྟོད་འཁྲུགས་མ་ལུས་སེལ། །
ཀོ་བྱི་བཅོ་ལྔ་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཀོ་བྱི་བཅོ་ལྔས་སྨྱོ་འབོགས་བརྒྱལ་བ་དང་། །སྙིང་རླུང་གཉིད་མེད་མགོ་བོ་གཟེར་ལ་སོགས། །གྲིབ་ནད་སྙིང་ལ་བབས་པའང་སེལ་བར་བྱེད། །
ཀོ་ཡུ་བདུན་སྦྱོར།	དྲོ་བ། བཟི་མེད།	ཀོ་ཡུ་བདུན་སྦྱོར་མཁལ་ནད་སྤྱི་ལ་ཕན། །
ཀོ་ཡུ་བརྒྱད་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཀོ་ཡུ་བརྒྱད་པ་མཁལ་ནད་སྤྱི་ཡི་སྨན།
ཀོ་ཡུ་དགུ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཁལ་མའི་ནད་སེལ་ཉམས་སྟོབས་རྒྱས། །
ཀོ་ཡུ་བདེ་བསམ།	དྲོ་བ། བཟི་མེད།	ཀོ་ཡུ་བདེ་བསམ་རོ་ཙ་གསོ་བའི་སྨན།
ཀོ་ལ་གཉིས་ཐང་།	ཅུང་དྲོ་བ། བཟི་མེད།	མཆེར་ནད་གྲང་བབས་སེལ་བའི་སྨན་གཅིག་ཡིན། །
ཀོ་ལ་སུམ་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཚེར་ནད་སེལ།
ཀོ་ལ་བཅུ་གཅིག	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཀོ་ལ་བཅུ་གཅིག་མཆེར་ནད་ཐམས་ཅད་སེལ།
ཀོ་ལ་བཅུ་གསུམ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཆེར་ཚད་ཚ་གྲང་མ་ལུས་ཀུན་ལ་ཕན། །
ཀོ་ལ་བཅོ་བརྒྱད།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མཚེར་ནད་ཚ་གྲང་མེད་པ་སེལ་བའི་མཆོག །
